Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,148,2,Some Random Commen with Id 0
1,0,8,73,1,Some Random Commen with Id 1
2,0,8,111,5,Some Random Commen with Id 2
3,0,8,49,7,Some Random Commen with Id 3
4,1,5,181,1,Some Random Commen with Id 4
5,1,5,61,5,Some Random Commen with Id 5
6,2,9,187,3,Some Random Commen with Id 6
7,2,9,69,6,Some Random Commen with Id 7
8,2,9,8,2,Some Random Commen with Id 8
9,2,9,164,6,Some Random Commen with Id 9
10,3,6,190,8,Some Random Commen with Id 10
11,3,6,23,0,Some Random Commen with Id 11
12,3,6,70,9,Some Random Commen with Id 12
13,3,6,27,6,Some Random Commen with Id 13
14,4,1,105,5,Some Random Commen with Id 14
15,4,1,165,5,Some Random Commen with Id 15
16,4,1,81,4,Some Random Commen with Id 16
17,4,1,186,1,Some Random Commen with Id 17
18,5,8,82,9,Some Random Commen with Id 18
19,5,8,133,7,Some Random Commen with Id 19
20,5,8,102,5,Some Random Commen with Id 20
21,5,8,176,4,Some Random Commen with Id 21
22,5,8,120,1,Some Random Commen with Id 22
23,5,8,186,4,Some Random Commen with Id 23
24,6,0,192,7,Some Random Commen with Id 24
25,6,0,179,5,Some Random Commen with Id 25
26,6,0,105,9,Some Random Commen with Id 26
27,6,0,131,6,Some Random Commen with Id 27
28,6,0,23,7,Some Random Commen with Id 28
29,6,0,66,7,Some Random Commen with Id 29
30,6,0,34,9,Some Random Commen with Id 30
31,6,0,137,1,Some Random Commen with Id 31
32,6,0,135,7,Some Random Commen with Id 32
33,7,6,192,8,Some Random Commen with Id 33
34,7,6,25,6,Some Random Commen with Id 34
35,7,6,54,3,Some Random Commen with Id 35
36,7,6,104,3,Some Random Commen with Id 36
37,7,6,81,3,Some Random Commen with Id 37
38,7,6,158,2,Some Random Commen with Id 38
39,7,6,144,1,Some Random Commen with Id 39
40,7,6,14,4,Some Random Commen with Id 40
41,7,6,147,8,Some Random Commen with Id 41
42,8,7,125,5,Some Random Commen with Id 42
43,8,7,181,5,Some Random Commen with Id 43
44,8,7,48,1,Some Random Commen with Id 44
45,8,7,70,9,Some Random Commen with Id 45
46,8,7,177,6,Some Random Commen with Id 46
47,8,7,152,5,Some Random Commen with Id 47
48,8,7,2,2,Some Random Commen with Id 48
49,8,7,115,1,Some Random Commen with Id 49
50,8,7,22,4,Some Random Commen with Id 50
51,9,7,119,9,Some Random Commen with Id 51
52,9,7,23,8,Some Random Commen with Id 52
53,9,7,27,4,Some Random Commen with Id 53
54,9,7,72,7,Some Random Commen with Id 54
55,9,7,149,1,Some Random Commen with Id 55
56,9,7,0,2,Some Random Commen with Id 56
57,9,7,96,7,Some Random Commen with Id 57
58,9,7,2,4,Some Random Commen with Id 58
59,9,7,134,7,Some Random Commen with Id 59
60,10,4,23,0,Some Random Commen with Id 60
61,10,4,172,4,Some Random Commen with Id 61
62,11,7,161,3,Some Random Commen with Id 62
63,11,7,132,5,Some Random Commen with Id 63
64,11,7,194,1,Some Random Commen with Id 64
65,11,7,95,2,Some Random Commen with Id 65
66,11,7,133,5,Some Random Commen with Id 66
67,11,7,53,4,Some Random Commen with Id 67
68,11,7,112,6,Some Random Commen with Id 68
69,11,7,3,6,Some Random Commen with Id 69
70,11,7,97,4,Some Random Commen with Id 70
71,12,7,52,7,Some Random Commen with Id 71
72,12,7,2,7,Some Random Commen with Id 72
73,12,7,163,9,Some Random Commen with Id 73
74,12,7,167,5,Some Random Commen with Id 74
75,12,7,39,4,Some Random Commen with Id 75
76,12,7,95,0,Some Random Commen with Id 76
77,12,7,5,9,Some Random Commen with Id 77
78,12,7,5,5,Some Random Commen with Id 78
79,12,7,172,9,Some Random Commen with Id 79
80,13,2,179,0,Some Random Commen with Id 80
81,13,2,75,1,Some Random Commen with Id 81
82,13,2,136,4,Some Random Commen with Id 82
83,13,2,9,0,Some Random Commen with Id 83
84,13,2,50,9,Some Random Commen with Id 84
85,14,0,72,8,Some Random Commen with Id 85
86,14,0,126,7,Some Random Commen with Id 86
87,14,0,42,2,Some Random Commen with Id 87
88,14,0,164,3,Some Random Commen with Id 88
89,14,0,141,5,Some Random Commen with Id 89
90,15,3,173,4,Some Random Commen with Id 90
91,16,4,178,9,Some Random Commen with Id 91
92,16,4,152,3,Some Random Commen with Id 92
93,16,4,157,9,Some Random Commen with Id 93
94,18,2,162,6,Some Random Commen with Id 94
95,18,2,1,9,Some Random Commen with Id 95
96,18,2,114,6,Some Random Commen with Id 96
97,19,5,55,9,Some Random Commen with Id 97
98,19,5,104,7,Some Random Commen with Id 98
99,19,5,122,8,Some Random Commen with Id 99
100,19,5,25,4,Some Random Commen with Id 100
101,19,5,162,2,Some Random Commen with Id 101
102,19,5,99,1,Some Random Commen with Id 102
103,19,5,85,9,Some Random Commen with Id 103
104,20,4,9,5,Some Random Commen with Id 104
105,20,4,103,7,Some Random Commen with Id 105
106,20,4,169,4,Some Random Commen with Id 106
107,20,4,73,6,Some Random Commen with Id 107
108,20,4,131,3,Some Random Commen with Id 108
109,21,0,54,6,Some Random Commen with Id 109
110,21,0,52,9,Some Random Commen with Id 110
111,21,0,160,1,Some Random Commen with Id 111
112,21,0,7,4,Some Random Commen with Id 112
113,22,4,32,5,Some Random Commen with Id 113
114,22,4,29,3,Some Random Commen with Id 114
115,22,4,61,7,Some Random Commen with Id 115
116,24,3,189,7,Some Random Commen with Id 116
117,24,3,29,0,Some Random Commen with Id 117
118,24,3,145,6,Some Random Commen with Id 118
119,24,3,3,8,Some Random Commen with Id 119
120,24,3,168,9,Some Random Commen with Id 120
121,24,3,125,3,Some Random Commen with Id 121
122,25,4,84,3,Some Random Commen with Id 122
123,25,4,135,4,Some Random Commen with Id 123
124,25,4,69,9,Some Random Commen with Id 124
125,25,4,58,9,Some Random Commen with Id 125
126,25,4,69,8,Some Random Commen with Id 126
127,26,3,181,1,Some Random Commen with Id 127
128,26,3,78,5,Some Random Commen with Id 128
129,26,3,113,2,Some Random Commen with Id 129
130,26,3,135,1,Some Random Commen with Id 130
131,26,3,115,3,Some Random Commen with Id 131
132,26,3,92,0,Some Random Commen with Id 132
133,26,3,181,9,Some Random Commen with Id 133
134,27,1,75,5,Some Random Commen with Id 134
135,27,1,154,2,Some Random Commen with Id 135
